train,validation
0.036680880398647704,0.031706094430599775
0.0343638784232214,0.0323506922209461
0.03420050782736247,0.031398177756864154
0.03415663804934843,0.032002736194739465
0.0338110475070366,0.030878514511503963
0.03346626451055713,0.030870033303167975
0.03241447868299539,0.029813857864641583
0.03125275300701039,0.02708226059191085
0.02928584299238571,0.0242318318155965
0.027231570338460274,0.023454459497018645
0.025880236658157776,0.021505060779791065
0.024919671739805555,0.01996449764519222
0.023890663507885688,0.01919651723519638
0.023054806835037862,0.01846899330245446
0.02236432542464675,0.018352585764288002
0.02157086671683349,0.018672039742745745
0.02091568062774995,0.017672234029826855
0.02035577824741437,0.016848680795646307
0.01990602482262884,0.017753386795083616
0.019566924766022266,0.0167894949811269
0.01892335309543123,0.015883145094038587
0.01858745758727029,0.0170582158058532
0.018243078795419587,0.017869727833071097
0.017816539879704888,0.016331402976279254
0.017699022038855868,0.016995022205839396
0.01741668413490969,0.016045004494496567
0.016947713807294103,0.017563146859231517
0.016685624881431965,0.01685547206829791
0.016599844290074415,0.01600703472372006
0.016336050975546777,0.015511858715751494
0.015936783744567907,0.01658764058168739
0.01617522535947255,0.015260351184244495
0.015691633105029645,0.015444806737127368
0.015689408570456025,0.01613434241602177
0.015295079917352723,0.014605326342523164
0.01504683588776312,0.014939064581543583
0.014922459112870708,0.01533004528545957
0.014619052100315366,0.01444538929698753
0.014446229687879834,0.014880415342839763
0.014400757290383783,0.015107776232471793
